ip,asn,asn_registry,asn_description,country_rdap,org_name_rdap,rdap_error,arin_handle,arin_name,arin_type,arin_start_ip,arin_end_ip,arin_country,arin_parent,arin_abuse_email,geo_country,geo_region,geo_city,geo_location,org,hostname,reverse_dns,is_valid_ip
120.208.68.226,56042,apnic,"CMNET-SHANXI-AP China Mobile communications corporation, CN",CN,haijun li; chinamobile tech; China Mobile; IRT-CHINAMOBILE-CN,,120.192.0.0 - 120.255.255.255,CMNET,ALLOCATED PORTABLE,120.192.0.0,120.255.255.255,CN,,abuse@chinamobile.com,CN,Shanghai,Shanghai,"31.2222,121.4581",AS56042 China Mobile communications corporation,,,True
66.132.186.198,398324,arin,"CENSYS-ARIN-01 - Censys, Inc., US",,"Censys Abuse Team; Censys Operations Team; Censys, Inc.; Censys Legal Team",,NET-66-132-186-0-1,CENSY,DIRECT ALLOCATION,66.132.186.0,66.132.186.255,,NET-66-0-0-0-0,,US,Illinois,Chicago,"41.8500,-87.6500","AS398324 Censys, Inc.",198.186.132.66.censys-scanner.com,198.186.132.66.censys-scanner.com,True
79.124.56.110,50360,ripencc,"TAMATIYA-AS, BG",BG,AZ39139-MNT; Abuse-C Role; TAMATYA-MNT; Tamatiya EOOD; Petar Dimov,,79.124.56.0 - 79.124.56.255,Tamatiya-EOOD,SUB-ALLOCATED PA,79.124.56.0,79.124.56.255,BG,79.124.0.0 - 79.124.84.255,noc@4vendeta.com,BG,Sofia-Capital,Sofia,"42.6975,23.3241",AS50360 Tamatiya EOOD,division.newoilreliefpain.us,division.newoilreliefpain.us,True
170.39.218.32,52053,arin,"REDHEBERG, FR",,Private Customer; FBW Reseaux Fibres inc.,,NET-170-39-218-0-1,HARMONY-HOSTING-NET01,ASSIGNMENT,170.39.218.0,170.39.218.255,,NET-170-39-216-0-1,,FR,Île-de-France,Vélizy-Villacoublay,"48.7820,2.1940",AS52053 REDHEBERG Association declaree,,,True
66.132.172.221,398324,arin,"CENSYS-ARIN-01 - Censys, Inc., US",,"Censys Abuse Team; Censys Operations Team; Censys, Inc.; Censys Legal Team",,NET-66-132-172-0-1,CENSY,DIRECT ALLOCATION,66.132.172.0,66.132.172.255,,NET-66-0-0-0-0,,US,Illinois,Chicago,"41.8500,-87.6500","AS398324 Censys, Inc.",221.172.132.66.censys-scanner.com,221.172.132.66.censys-scanner.com,True
135.237.125.143,8075,ripencc,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",US,"MICROSOFT-MAINT; Divya Quamara; Microsoft Abuse Contact; Microsoft Routing, Peering, and DNS",,135.237.0.0 - 135.237.255.255,cloud,ASSIGNED PA,135.237.0.0,135.237.255.255,US,135.224.0.0 - 135.241.255.255,abuse@microsoft.com,US,Virginia,Washington,"38.7135,-78.1594",AS8075 Microsoft Corporation,azpdesz3whcf.stretchoid.com,azpdesz3whcf.stretchoid.com,True
20.200.222.0,8075,arin,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",,"Microsoft Corporation; Prachi Singh; Dawn Bedard; Microsoft Routing, Peering, and DNS",,NET-20-192-0-0-1,MSFT,DIRECT ALLOCATION,20.192.0.0,20.255.255.255,,NET-20-0-0-0-0,,KR,Seoul,Seoul,"37.5660,126.9784",AS8075 Microsoft Corporation,,,True
2.57.122.188,47890,ripencc,"UNMANAGED-DEDICATED-SERVERS, GB",NL,ABUSE DEP; TECHOFF-MNT; TECHOFF SRV LIMITED,,2.57.122.0 - 2.57.122.255,DMZHOSTdotco,ASSIGNED PA,2.57.122.0,2.57.122.255,NL,2.57.120.0 - 2.57.123.255,dmzhostabuse@gmail.com,RO,Timiș County,Timişoara,"45.7537,21.2257",AS47890 UNMANAGED LTD,,,True
66.132.172.37,398324,arin,"CENSYS-ARIN-01 - Censys, Inc., US",,"Censys Abuse Team; Censys Operations Team; Censys, Inc.; Censys Legal Team",,NET-66-132-172-0-1,CENSY,DIRECT ALLOCATION,66.132.172.0,66.132.172.255,,NET-66-0-0-0-0,,US,Illinois,Chicago,"41.8500,-87.6500","AS398324 Censys, Inc.",37.172.132.66.censys-scanner.com,37.172.132.66.censys-scanner.com,True
36.39.140.2,,,,,,HTTP lookup failed for https://xn--c79as89aj0e29b77z.xn--3e0b707e/eng/whois.jsc.,36.38.0.0 - 36.39.255.255,LG-HELLOVISION-KR,ALLOCATED PORTABLE,36.38.0.0,36.39.255.255,KR,,hostmaster@nic.or.kr,KR,Chungcheongnam-do,Seosan,"36.7817,126.4522",AS38669 LG HelloVision Corp.,,,True
106.246.224.218,,,,,,HTTP lookup failed for https://xn--c79as89aj0e29b77z.xn--3e0b707e/eng/whois.jsc.,106.240.0.0 - 106.255.255.255,BORANET-KR,ALLOCATED PORTABLE,106.240.0.0,106.255.255.255,KR,,hostmaster@nic.or.kr,KR,Seoul,Seoul,"37.5660,126.9784",AS3786 LG DACOM Corporation,,,True
201.63.223.138,10429,lacnic,"TELEFONICA BRASIL S.A, BR",BR,Grupo Provisionamento; TELEFÔNICA BRASIL S.A; CSIRT TELEFONICA BR,,201.63.0.0/16,71641,ALLOCATED,201.63.0.0,201.63.255.255,BR,,abuse.br@telefonica.com,BR,São Paulo,São Paulo,"-23.5475,-46.6361",AS10429 TELEFÔNICA BRASIL S.A,201-63-223-138.customer.tdatabrasil.net.br,201-63-223-138.customer.tdatabrasil.net.br,True
66.132.224.92,398324,arin,"CENSYS-ARIN-01 - Censys, Inc., US",,"Censys Abuse Team; Censys Operations Team; Censys, Inc.; Censys Legal Team",,NET-66-132-224-0-1,CENSY,DIRECT ALLOCATION,66.132.224.0,66.132.224.255,,NET-66-0-0-0-0,,US,Illinois,Chicago,"41.8500,-87.6500","AS398324 Censys, Inc.",92.224.132.66.censys-scanner.com,92.224.132.66.censys-scanner.com,True
94.231.206.13,213412,ripencc,"ONYPHE, FR",CN,Abuse-C Role; RIPE-NCC-HM-MNT; ONYPHE SAS; lir-fr-onyphe-1-MNT; Admin,,94.231.206.0 - 94.231.206.255,FR-ONYPHE-20200128,ALLOCATED PA,94.231.206.0,94.231.206.255,CN,0.0.0.0 - 255.255.255.255,abuse@onyphe.io,SG,Singapore,Singapore,"1.2897,103.8501",AS213412 ONYPHE SAS,wills.probe.onyphe.net,wills.probe.onyphe.net,True
141.148.175.56,31898,ripencc,"ORACLE-BMC-31898 - Oracle Corporation, US",CH,Oracle Svenska AB; Domain Administrator; ORCL-MNT; Abuse-C Role,,141.148.0.0 - 141.148.255.255,ORACLE-CH,LEGACY,141.148.0.0,141.148.255.255,CH,141.143.0.0 - 141.148.255.255,abuse@oracleemaildelivery.com,US,Arizona,Phoenix,"33.4484,-112.0740",AS31898 Oracle Corporation,,,True
122.10.115.18,55933,apnic,"CLOUDIE-AS-AP Cloudie Limited, HK",HK,Cloudie Limited administrator; IRT-CLOUDIE1-HK,,122.10.112.0 - 122.10.119.255,CLOUDIE-HK,ALLOCATED NON-PORTABLE,122.10.112.0,122.10.119.255,HK,,abuse@cloudie.hk,HK,Islands,Tung Chung,"22.2878,113.9424",AS24544 Overcasts Limited,,,True
80.94.92.186,47890,ripencc,"UNMANAGED-DEDICATED-SERVERS, GB",NL,ABUSE DEP; TECHOFF-MNT; ro-btel2-1-mnt; TECHOFF SRV LIMITED,,80.94.92.0 - 80.94.92.255,DMZHOST,ASSIGNED PA,80.94.92.0,80.94.92.255,NL,80.94.92.0 - 80.94.95.255,dmzhostabuse@gmail.com,RO,Timiș County,Timişoara,"45.7537,21.2257",AS47890 UNMANAGED LTD,,,True
2.57.122.208,47890,ripencc,"UNMANAGED-DEDICATED-SERVERS, GB",NL,ABUSE DEP; TECHOFF-MNT; TECHOFF SRV LIMITED,,2.57.122.0 - 2.57.122.255,DMZHOSTdotco,ASSIGNED PA,2.57.122.0,2.57.122.255,NL,2.57.120.0 - 2.57.123.255,dmzhostabuse@gmail.com,RO,Timiș County,Timişoara,"45.7537,21.2257",AS47890 UNMANAGED LTD,,,True
2.57.122.196,47890,ripencc,"UNMANAGED-DEDICATED-SERVERS, GB",NL,ABUSE DEP; TECHOFF-MNT; TECHOFF SRV LIMITED,,2.57.122.0 - 2.57.122.255,DMZHOSTdotco,ASSIGNED PA,2.57.122.0,2.57.122.255,NL,2.57.120.0 - 2.57.123.255,dmzhostabuse@gmail.com,RO,Timiș County,Timişoara,"45.7537,21.2257",AS47890 UNMANAGED LTD,,,True
177.36.214.46,52967,lacnic,"NT Brasil Tecnologia Ltda. ME, BR",BR,NT Brasil Tecnologia Ltda. ME; Edson Xavier Veloso Júnior,,177.36.208.0/20,164797,ALLOCATED,177.36.208.0,177.36.223.255,BR,,edson@ntbr.com.br,BR,Minas Gerais,Pirapora,"-17.3450,-44.9419",AS52967 NT Brasil Tecnologia Ltda. ME,customer-177-36-214-46.conectv.com.br,customer-177-36-214-46.conectv.com.br,True
138.68.155.239,14061,arin,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",,"DigitalOcean, LLC; DigitalOcean Abuse; Network Operations Center",,NET-138-68-0-0-1,DIGITALOCEAN-138-68-0-0,DIRECT ALLOCATION,138.68.0.0,138.68.255.255,,NET-138-0-0-0-0,,GB,England,London,"51.5085,-0.1257","AS14061 DigitalOcean, LLC",preissmurphy.com,preissmurphy.com,True
66.132.172.109,398324,arin,"CENSYS-ARIN-01 - Censys, Inc., US",,"Censys Abuse Team; Censys Operations Team; Censys, Inc.; Censys Legal Team",,NET-66-132-172-0-1,CENSY,DIRECT ALLOCATION,66.132.172.0,66.132.172.255,,NET-66-0-0-0-0,,US,Illinois,Chicago,"41.8500,-87.6500","AS398324 Censys, Inc.",109.172.132.66.censys-scanner.com,109.172.132.66.censys-scanner.com,True
65.49.1.92,6939,arin,"HURRICANE - Hurricane Electric LLC, US",,"NOC; The Shadowserver Foundation, Inc.",,NET-65-49-1-0-1,HURRICANE-CE2897-409C062A,ALLOCATION,65.49.1.0,65.49.1.255,,NET-65-49-0-0-1,,US,California,San Francisco,"37.7749,-122.4194",AS6939 Hurricane Electric LLC,scan-57m.shadowserver.org,scan-57m.shadowserver.org,True
66.132.172.140,398324,arin,"CENSYS-ARIN-01 - Censys, Inc., US",,"Censys Abuse Team; Censys, Inc.; Censys Legal Team",,NET-66-132-172-0-1,CENSY,DIRECT ALLOCATION,66.132.172.0,66.132.172.255,,NET-66-0-0-0-0,,US,Illinois,Chicago,"41.8500,-87.6500","AS398324 Censys, Inc.",140.172.132.66.censys-scanner.com,140.172.132.66.censys-scanner.com,True
204.168.205.14,24940,ripencc,"HETZNER-AS, DE",FI,Dennis Diehm; Sebastian Krannich; Martin Fritzsche; Guenther Mueller; HOS-GUN; Hetzner Online GmbH; Stephan Konvickova; Hetzner Online GmbH - Contact Role; Martin Hetzner,,204.168.192.0 - 204.168.207.255,CLOUD-HEL1,ASSIGNED PA,204.168.192.0,204.168.207.255,FI,204.168.128.0 - 204.168.255.255,abuse@hetzner.com,FI,Uusimaa,Helsinki,"60.1695,24.9354",AS24940 Hetzner Online GmbH,static.14.205.168.204.clients.your-server.de,static.14.205.168.204.clients.your-server.de,True
184.105.139.109,6939,arin,"HURRICANE - Hurricane Electric LLC, US",,"NOC; The Shadowserver Foundation, Inc.; Abuse",,NET-184-105-139-64-1,HURRICANE-CE2897-015D9281,ALLOCATION,184.105.139.64,184.105.139.127,,NET-184-104-0-0-1,,US,California,San Jose,"37.3394,-121.8950",AS6939 Hurricane Electric LLC,scan-03i.shadowserver.org,scan-03i.shadowserver.org,True
20.151.2.242,8075,arin,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",,"Prachi Singh; Microsoft Corporation; Dawn Bedard; IPHostmaster IPHostmaster; Microsoft Routing, Peering, and DNS",,NET-20-150-0-0-1,MSFT,DIRECT ALLOCATION,20.150.0.0,20.153.255.255,,NET-20-0-0-0-0,,CA,Ontario,Toronto,"43.7064,-79.3986",AS8075 Microsoft Corporation,,,True
85.217.140.17,209334,ripencc,"MODAT-01, NL",FR,Abuse-C Role; RIPE-NCC-HM-MNT; lir-nl-modat-1-MNT; Modat B.V.; security,,85.217.140.0 - 85.217.140.255,NL-MODAT-20050118,ALLOCATED PA,85.217.140.0,85.217.140.255,FR,0.0.0.0 - 255.255.255.255,abuse@modat.io,FR,Hauts-de-France,Gravelines,"50.9865,2.1281",AS209334 Modat B.V.,o317.scanner.modat.io,o317.scanner.modat.io,True
45.148.10.141,48090,ripencc,"DMZHOST, GB",AD,ABUSE DEP; TECHOFF-MNT; TECHOFF SRV LIMITED,,45.148.10.0 - 45.148.10.255,DMZHOST,ASSIGNED PA,45.148.10.0,45.148.10.255,AD,45.148.8.0 - 45.148.11.255,dmzhostabuse@gmail.com,NL,North Holland,Amsterdam,"52.3740,4.8897",AS48090 TECHOFF SRV LIMITED,,,True
118.196.24.229,4811,apnic,"CHINANET-SHANGHAI-MAN China Telecom Group, CN",CN,Liu Nian; IRT-VOLCANO-ENGINE-CN; Chen Qi,,118.196.0.0 - 118.197.255.255,VOLCANO-ENGINE,ALLOCATED PORTABLE,118.196.0.0,118.197.255.255,CN,,gnoc@bytedance.com,CN,Shanghai,Shanghai,"31.2222,121.4581",AS4811 China Telecom (Group),,,True
2.57.122.190,47890,ripencc,"UNMANAGED-DEDICATED-SERVERS, GB",NL,ABUSE DEP; TECHOFF-MNT; TECHOFF SRV LIMITED,,2.57.122.0 - 2.57.122.255,DMZHOSTdotco,ASSIGNED PA,2.57.122.0,2.57.122.255,NL,2.57.120.0 - 2.57.123.255,dmzhostabuse@gmail.com,RO,Timiș County,Timişoara,"45.7537,21.2257",AS47890 UNMANAGED LTD,,,True
85.217.140.26,209334,ripencc,"MODAT-01, NL",FR,Abuse-C Role; RIPE-NCC-HM-MNT; lir-nl-modat-1-MNT; Modat B.V.; security,,85.217.140.0 - 85.217.140.255,NL-MODAT-20050118,ALLOCATED PA,85.217.140.0,85.217.140.255,FR,0.0.0.0 - 255.255.255.255,abuse@modat.io,FR,Hauts-de-France,Gravelines,"50.9865,2.1281",AS209334 Modat B.V.,o325.scanner.modat.io,o325.scanner.modat.io,True
92.118.39.63,47890,ripencc,"UNMANAGED-DEDICATED-SERVERS, GB",NL,TECHOFF-MNT; CYBR-DMZ; DMZHOST; Abuse contact role object,,92.118.39.0 - 92.118.39.255,DMZHOST,ASSIGNED PA,92.118.39.0,92.118.39.255,NL,92.118.36.0 - 92.118.39.255,dmzhostabuse@gmail.com,RO,Timiș County,Timişoara,"45.7537,21.2257",AS47890 UNMANAGED LTD,,,True
103.74.123.88,135967,apnic,"BKNS-AS-VN Bach Kim Network solutions Join stock company, VN",VN,Pham Duy Tam; IRT-VNNIC-AP,,103.74.120.0 - 103.74.123.255,CNBKNS-VN,ALLOCATED PORTABLE,103.74.120.0,103.74.123.255,VN,,hm-changed@vnnic.vn,VN,Hanoi,Hanoi,"21.0245,105.8412",AS135967 Bach Kim Network solutions Join stock company,sv123088.bkns.vn,sv123088.bkns.vn,True
2.57.121.69,47890,ripencc,"UNMANAGED-DEDICATED-SERVERS, GB",GB,ro-btel2-1-mnt; UNMANAGED LTD NOC - NETWORK OPERATIONS CENTER; UNMANAGED LTD; UNMANAGED; Abuse contact role object,,2.57.121.0 - 2.57.121.255,UNMANAGED-LTD,ASSIGNED PA,2.57.121.0,2.57.121.255,GB,2.57.120.0 - 2.57.123.255,abuse@unmanaged.uk,RO,Timiș County,Timişoara,"45.7537,21.2257",AS47890 UNMANAGED LTD,mta69.soniideas.com,mta69.soniideas.com,True
66.132.172.130,398324,arin,"CENSYS-ARIN-01 - Censys, Inc., US",,"Censys Abuse Team; Censys Operations Team; Censys, Inc.; Censys Legal Team",,NET-66-132-172-0-1,CENSY,DIRECT ALLOCATION,66.132.172.0,66.132.172.255,,NET-66-0-0-0-0,,US,Illinois,Chicago,"41.8500,-87.6500","AS398324 Censys, Inc.",130.172.132.66.censys-scanner.com,130.172.132.66.censys-scanner.com,True
18.218.118.203,16509,arin,"AMAZON-02 - Amazon.com, Inc., US",,AWS RPKI Management POC; Amazon EC2 Network Operations; DNS; Amazon EC2 Abuse; Amazon AWS Network Operations; Amazon Technologies Inc.; IP Routing; IP Management,,NET-18-32-0-0-1,AT-88-Z,DIRECT ALLOCATION,18.32.0.0,18.255.255.255,,NET-18-0-0-0-0,,US,Ohio,Columbus,"39.9612,-82.9988","AS16509 Amazon.com, Inc.",scan.visionheight.com,scan.visionheight.com,True
2.57.121.86,47890,ripencc,"UNMANAGED-DEDICATED-SERVERS, GB",GB,ro-btel2-1-mnt; UNMANAGED LTD NOC - NETWORK OPERATIONS CENTER; UNMANAGED LTD; UNMANAGED; Abuse contact role object,,2.57.121.0 - 2.57.121.255,UNMANAGED-LTD,ASSIGNED PA,2.57.121.0,2.57.121.255,GB,2.57.120.0 - 2.57.123.255,abuse@unmanaged.uk,RO,Timiș County,Timişoara,"45.7537,21.2257",AS47890 UNMANAGED LTD,mta86.soniideas.com,mta86.soniideas.com,True
134.199.201.207,14061,arin,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",,"DigitalOcean, LLC; DigitalOcean Abuse; Network Operations Center",,NET-134-199-128-0-1,DIGITALOCEAN-134-199-128-0,DIRECT ALLOCATION,134.199.128.0,134.199.255.255,,NET-134-0-0-0-0,,US,Georgia,Douglasville,"33.7515,-84.7477","AS14061 DigitalOcean, LLC",,,True
36.50.54.62,151858,apnic,"INTERDIGI-VN INTERDIGI JOINT STOCK COMPANY, VN",VN,Truong Truong Thinh; IRT-VNNIC-AP; Tran Tien Duy,,36.50.54.0 - 36.50.55.255,INTERDIGI-VN,ALLOCATED PORTABLE,36.50.54.0,36.50.55.255,VN,,hm-changed@vnnic.vn,VN,Ho Chi Minh City (HCMC),Ho Chi Minh City,"10.8230,106.6296",AS151858 INTERDIGI JOINT STOCK COMPANY,,,True
189.147.20.241,8151,lacnic,"UNINET, MX",,GESTION DE CAMBIOS; Gestión de direccionamiento UniNet; SEGURIDAD DE RED UNINET,,189.147.20.0/24,189.147.20.0 - 189.147.20.255,REASSIGNED,189.147.20.0,189.147.20.255,,189.128.0.0/11,abuse@uninet.net.mx,MX,Mexico City,Mexico City,"19.4285,-99.1277",AS8151 UNINET,dsl-241-20-147-189-dynamic.prod-infinitum.com.mx,dsl-241-20-147-189-dynamic.prod-infinitum.com.mx,True
68.68.101.180,18779,arin,"EGIHOSTING - EGIHosting, US",,James Chen; Bijoy KT; Aaron Hernandez; Network Operations Center; Abuse Department; Scott Brookshire; John Simkiss; Indhira kumar; EGIHosting,,NET-68-68-101-176-1,68-68-101-176-1,ASSIGNMENT,68.68.101.176,68.68.101.183,,NET-68-68-96-0-1,,US,California,Santa Clara,"37.3541,-121.9552",AS18779 EGIHosting,,,True
98.89.204.118,14618,arin,"AMAZON-AES - Amazon.com, Inc., US",,Amazon EC2 Network Operations; Amazon Data Services Northern Virginia; Amazon EC2 Abuse; Amazon AWS Network Operations; IP Management,,NET-98-88-0-0-1,AMAZON-IAD,ALLOCATION,98.88.0.0,98.95.255.255,,NET-98-80-0-0-2,,US,Virginia,Ashburn,"39.0437,-77.4875","AS14618 Amazon.com, Inc.",ec2-98-89-204-118.compute-1.amazonaws.com,ec2-98-89-204-118.compute-1.amazonaws.com,True
103.218.242.31,135377,apnic,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",HK,UCLOUD INFORMATION TECHNOLOGY HK LIMITED; IRT-UCLOUD-HK,,103.218.242.0 - 103.218.242.255,UCLOUD-HK,ALLOCATED NON-PORTABLE,103.218.242.0,103.218.242.255,HK,,hegui@ucloud.cn,HK,Hong Kong,Hong Kong,"22.2783,114.1747",AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,,,True
101.36.108.175,135377,apnic,"UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK",HK,UCLOUD INFORMATION TECHNOLOGY HK LIMITED; IRT-UCLOUD-HK,,101.36.106.0 - 101.36.110.255,UCLOUD-HK,ALLOCATED NON-PORTABLE,101.36.106.0,101.36.110.255,HK,,hegui@ucloud.cn,HK,Hong Kong,Hong Kong,"22.2783,114.1747",AS135377 UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED,,,True
129.212.181.84,14061,arin,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",,"DigitalOcean, LLC; DigitalOcean Abuse; Network Operations Center",,NET-129-212-128-0-1,DIGITALOCEAN-129-212-128-0,DIRECT ALLOCATION,129.212.128.0,129.212.255.255,,NET-129-0-0-0-0,,US,Georgia,Douglasville,"33.7515,-84.7477","AS14061 DigitalOcean, LLC",,,True
2.57.122.197,47890,ripencc,"UNMANAGED-DEDICATED-SERVERS, GB",NL,ABUSE DEP; TECHOFF-MNT; TECHOFF SRV LIMITED,,2.57.122.0 - 2.57.122.255,DMZHOSTdotco,ASSIGNED PA,2.57.122.0,2.57.122.255,NL,2.57.120.0 - 2.57.123.255,dmzhostabuse@gmail.com,RO,Timiș County,Timişoara,"45.7537,21.2257",AS47890 UNMANAGED LTD,,,True
111.70.51.23,17421,apnic,"EMOME-NET Mobile Business Group, TW",TW,,,111.70.0.0 - 111.70.255.255,EMOME-NET,ASSIGNED NON-PORTABLE,111.70.0.0,111.70.255.255,TW,,,TW,Taiwan,Taichung,"24.1469,120.6839",AS17421 Mobile Business Group,111-70-51-23.emome-ip.hinet.net,111-70-51-23.emome-ip.hinet.net,True
172.104.241.98,63949,arin,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",,Linode; Linode Network Operations; Linode Abuse Support; ipadmin,,NET-172-104-0-0-2,LINODE,ASSIGNMENT,172.104.0.0,172.105.146.255,,NET-172-104-0-0-1,,DE,Hesse,Frankfurt am Main,"50.1155,8.6842",AS63949 Akamai Connected Cloud,prod50client01.academyforinternetresearch.org,prod50client01.academyforinternetresearch.org,True
80.94.92.65,47890,ripencc,"UNMANAGED-DEDICATED-SERVERS, GB",NL,ABUSE DEP; TECHOFF-MNT; ro-btel2-1-mnt; TECHOFF SRV LIMITED,,80.94.92.0 - 80.94.92.255,DMZHOST,ASSIGNED PA,80.94.92.0,80.94.92.255,NL,80.94.92.0 - 80.94.95.255,dmzhostabuse@gmail.com,RO,Timiș County,Timişoara,"45.7537,21.2257",AS47890 UNMANAGED LTD,,,True
66.132.195.92,398324,arin,"CENSYS-ARIN-01 - Censys, Inc., US",,"Censys Abuse Team; Censys Operations Team; Censys, Inc.; Censys Legal Team",,NET-66-132-195-0-1,CENSY,DIRECT ALLOCATION,66.132.195.0,66.132.195.255,,NET-66-0-0-0-0,,US,Illinois,Chicago,"41.8500,-87.6500","AS398324 Censys, Inc.",92.195.132.66.censys-scanner.com,92.195.132.66.censys-scanner.com,True
164.90.151.212,14061,arin,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",,"DigitalOcean, LLC; DigitalOcean Abuse; Network Operations Center",,NET-164-90-128-0-1,DIGITALOCEAN-164-90-128-0,DIRECT ALLOCATION,164.90.128.0,164.90.255.255,,NET-164-0-0-0-0,,US,California,Santa Clara,"37.3541,-121.9552","AS14061 DigitalOcean, LLC",,,True
